label,sentence
JUDGE,The Judgment of the Court was deliv ered by PATANJALI SASTRI J.
FACTS,"This appeal arises out of a suit brought by the respondent in the court of the Subordinate Judge, Dhanbad, for recovery of arrears of royalty and cess from the appellant and another alleged to be due under a compromise decree passed on the 6th March, 1923, in a previ ous suit between the predecessors in interest of the par ties."
FACTS,The only plea which is material for the purpose of this appeal is that the compromise decree not having been registered was inadmissible in evidence.
FACTS,The courts below held that the document did not require registration and gave effect to its terms in decreeing the suit.
FACTS,The second defendant has preferred this appeal.
FACTS,The facts are not now in dispute and may be briefly stated.
FACTS,"On 11th March, 1921, one Kumar Krishna Prasad Singh (hereinafter referred to as Kumar) granted a perma nent lease of the right to the underground coal in 5,800 bighas of land belonging to him to Shibsaran Singh and Sitaram Singh (hereinafter referred to as the Singhs) by a registered patta stipulating for a salami of Rs. 8,000 and royalty at the rate of 2a."
FACTS,"per ton of coal raised subject to a minimum of Rs. 8,000 and for certain other cesses and interest."
FACTS,"On 7th June, 1921, Kumar executed another perma nent patta leasing the right to the coal in 500 bighas out of the 5,800 bighas referred to above to one Prayngji Bal lavji Deoshi and his son Harakchand Deoshi (hereinafter referred to as the Deoshis)."
FACTS,By this document.
FACTS,835 the Deoshis agreed inter alia to pay royalty at the rate of 2a. per ton on all classes of coal raised subject to a minimum of Rs. 750 a year.
FACTS,"The Singhs feeling themselves aggrieved by the latter transaction brought a title suit (No. 1291 of 1921) in the Court of the Subordinate Judge of Dhanbad for a declaration of their title and for possession of the 500 bighas leased to the Deoshis under the aforesaid patta of 7th June, 1921."
FACTS,"To that suit Kumar was made a party as defendant No. 3, the Deoshis being defendants 1 and 2."
FACTS,"The suit was however cornpromised on 6th March, 1923, by all the parties and a decree based on the compromise was also passed on the same day."
FACTS,"The interest of the Singhs was brought to sale in 193S in execution of a decree obtained against them and was purchased by the plaintiff who insti tuted the presnt suit on 3rd October, 1942, claiming the royalty and cesses payable under the compromise decree for the period from Pous 1345 to Asadh 1349 B.S. from defendants 1 and 2 as the representatives of the Deoshis who entered into the compromise of March, 1923."
FACTS,"In order to appreciate the contentions of the parties, it is necessary to set out the relevant terms of the compro mise decree which are as follows : ""The plaintiffs (the Singhs) within two months from this date shall pay Rs. 8,000 as salami to defendant No. 3 (Kumar)."
FACTS,"Otherwise all the terms of the compromise Will stand cancelled and the plaintiffs shall not be competent to claim any right to or possession over the.land covered by the patta dated 11th March, 1921."
FACTS,"The patta which defend ant No. 3 executed in favour of the plaintiffs in respect of 5,800 bighas of coal land in village Rahraband shall remain in force, and the plaintiffs will get a decree of declara tion of their right and title to the 500 bighas of coal land in dispute but defendants 1 and 2 (the Deoshis) shall hold possession as tenants."
FACTS,"Besides the terms mentioned below, defendants 1 and 2 shall remain bound by all the remaining terms under which they took settlement of the 500 bighas of coal land from defendant No. 3 under 836 patta and Kabuliyat, and both the defendants 1 and 2 shall possess the same under the plaintiffs from generation to generation and all the terms of the said patta and Kabuliyat shall remain effective and in force between them."
FACTS,Both the defendants 1 and 2 shall remain bound to pay to the plain tiffs commission at the rate of 2a.
FACTS,per ton on all sorts of coal instead of 2a.
FACTS,"a ton as stated before in the patta of 5,800 bighas of land settled with the plaintiffs."
FACTS,"The plaintiffs shall pay to defendant No. 3 in future the mini mum royalty of Rs. 6,000 instead of Rs. 8,000 as stipulated in the original patta of 11 th March 1921 and commission at the rate of la."
FACTS,a ton in place of 2a.
FACTS,a ton as stipulat ed in the patta of March 21 .
FACTS,"Unless the plaintiffs pay to the defendant No. 3 Rs. 8,000 within 2 months from this day they shall not be competent to take out execution of this decree, nor shall they be competent to take posses sion of the land in dispute."
FACTS,"The defendants 1 and 2 within one month from the date of payment of Rs. 8,000 as aforesaid to defendant No. 3 shall execute a new Kabuliyat in favour of the plaintiff in respect of the modified terms stated above, i.e., on the condition to pay commission at the rate of 2a."
FACTS,per ton.
FACTS,"In the new patta which defendant No. 3 will execute in favour of the plaintiffs he shall embody the condition that the annual minimum royalty will be Rs. 6,000 instead of Rs. 8,000 and commission will be at the rate of la. 9p."
FACTS,per ton in place of 2a.
FACTS,per ton as mentioned in the aforesaid patta.
FACTS,"If the defendant No. 3 does not execute the parts on the aforesaid modified terms in favour 'of the plaintiffs within the time aforesaid and both the defendants 1 and 2 also do not execute a kabuliyat on the aforesaid modified terms, then this very rafanama shall be treated as the parts and kabuliyat, and the plaintiffs in accordance with the terms of the rafanama shall pay to defendant No. 3, Rs. 6,000 only as minimum royalty and commission at the rate of la."
FACTS,"per ton with respect to 5,800 bighas and shall continue to realise commission at the rate of 2a. 6p. per ton from defendants 1 and 2 who shall remain bound to pay the same."
FACTS,""" 837 The answer to the question whether this compromise decree requires registration depends on the legal effect of the changes in the status quo ante of the parties brought about by the document."
FACTS,"A careful analysis reveals the following alterations : (1) In the lease to the Singhs, the rate of royalty or commission was reduced from 2a."
FACTS,per ton of coal raised to la.
FACTS,"per ton and the minimum royalty was reduced from Rs. 8,000 to Rs. 6,000 while the area of coal land in their khas possession was reduced by 500 bighas. (2) In the lease to the Deoshis the rate of royalty or commission was enhanced from 2a."
FACTS,per ton to 2a.
FACTS,per ton and tiffs was made payable to the Singhs.
FACTS,"The Singhs and the Deoshis were brought into a new legal relationship, the former accepting the latter as tenants holding the disputed 500 bighas under them in consideration of the latter agreeing to pay the enhanced royalty to the former. (4) The whole arrangement was made conditional on the Singhs paying Rs. 8,000 to Kumar within 2 months from the date of the compromise, it being expressly provided that the Singhs were not to be entitled to execute the decree or to take possession of the disputed area of 503 bighas which evidently had not till then passed into their possession."
REASONING,"Now, sub section (1) of section 17 of the , enumerates five categories of documents of which regis tration is made compulsory which include"" (d) leases of immoveable property from year to year, or for any term exceeding one year, or reserving a yearly rent;""."
REASONING,"Sub sec tion (2) however provided that ""nothing in clauses (b) and (c) of sub section (1)applies to . (vi) any decree or order of court."
REASONING,""" It may be mentioned in passing that this clause was amended with affect from the 1st April, 1930, by the , so as to exclude from the scope of the exception compromise decrees comprising immovable property other than that which is the subject matter of the suit."
REASONING,But 838 the amendment cannot affect the document here in question which came into existence in 1923.
REASONING,"Before the amendment, the clause was held to cover even compromise decrees comprising immovable property which was not the subject matter of the suit: [Vide Hemanta Kumari Debi vs Midnapur Zamindari Co. ( ')]."
REASONING,"That decision applies to the present case and obviates the objection that because the compromise in question covered also the remaining 5,300 bighas which were not the subject matter of the title suit of 1921, it was outside the scope of the exception in sub section (2), clause (vi)."
REASONING,"The only question, therefore, is whether the compromise decree is a ""lease"" [which expression includes ""an agreement to lease"" by the definition in section 2 (7)] within the meaning of el."
REASONING,(d) of sub section (1).
REASONING,It is obvious that if the compromise decree fails within clause (d) of sub section (1) it would not be protected under clause (vi) of sub section (2) which excepts only documents falling under the categories (b) and (c) of sub section (1).
RLC,"The High Court was of opinion that, on a proper construction of the terms of the compromise, it did not fall under clause (d)."
RLC,"Mano har Lall J., who delivered the leading judgment, observed: ""It was a tripartite agreement embodied in the decree of the court and was, therefore, exempt from registration."
REASONING,"It will be oh.served also that so far as the defendants were con cerned, their possession of the 500 bighas was not inter fered with and they still remained in possession as the lessees, but instead of paying the royalty to the plaintiffs it was agreed between all the parties that the defendants would pay the royalty in future to Shibsaran and Sitcram."
ARG,"If the matter had stood there, the learned Advocate for the appellant could not have seriously contested the position, but he vehemently argued that when the agreement was not to pay the same amount of royalty or commission as previously agreed to but an altered amount of royalty and commission, the document should be held to fall within the mischief of section 17 (1)(d)of the (1) P.C. 839 ."
RPC,"The answer to this contention is, as I have stated just now, to be found in the Full Bench decision of this court :"" [see Charu Chandra Mitra 's case ()]."
RPC,It was there held that a mere alteration of the rent reserved does not make the transaction a new lease so as to bring it within clause (d)of subsection (1).
RPC,We are unable to share this view.
REASONING,"It oversimplifies the compromise transaction which, in our opinion, involves much more than a mere alteration of the royalties stipulated for in the previous pattas executed by Kumar."
REASONING,"Nor can we accept the suggestion of Mr. Chatterjee for the respondents theft the compromise operated as an assignment to the Singhs by Kumar of the latter 's reversion under the ""lease granted to the Deoshis and all that the latter did was to acknowledge the Singhs as their landlords and attern to them."
REASONING,"On tiffs view it was said that the transaction would not fall under clause (d), although it would fall under clause (b) but then would be saved by the exception in clause (vi) of sub section (2)."
REASONING,"The argument, however, overlooks that Kumar had leased the area of 5,800 bighas to the Singhs by his patta dated 11th March, 1921, and the compromise by providing that the Singhs should pay the reduced royalty of 1a."
REASONING,per ton in respect of the whole area preserved Kumar 's reversion intact.
REASONING,"He could not therefore be deemed to have assigned any part of his inter est in 5,800 bighas as landlord to the Singhs who continue to hold the entire extent as tenants under him."
REASONING,What the compromise really did was.
REASONING,"as stated already, to bring the Singhs and the Deoshis into a new legal relationship as underlessor and under lessee in respect of 500 bighas which were the subject matter of the title suit; in other words, its legal effect was to create a perpetual underlease be tween the Singhs and the Deoshis which would clearly fall under clause (d) but for the circumstance that it was to take effect only on condition float the Singhs paid Rs. 8,000 to Kumar within 2 months (1) 840 thereafter."
PRECEDENT,"As pointed out by the Judicial Committee in Hemanta Kumar 's case (1) ""An agreement for a lease, which a lease is by the statute declared to include, must, in their Lordships ' opinion, be a document which effects an actual demise and operates as a lease ."
PRECEDENT,"The phrase which in the context where it occurs and in the statute in which it is found, must in their opinion relate to some document which creates a present and immediate interest in the land."
REASONING,""" The compromise decree expressly provides that unless the sum of Rs. 8,000 was paid within the stipulated time the Singhs were not to execute the decree or to take possession of the disputed property."
RPC,Until the payment was made it was impossible to determine whether there would be any under lease or not.
RPC,Such a contingent agreement is not within clause (d) and although it is covered by clause (b). is excepted by clause (vi) of sub section ( '2).
RPC,We therefore agree with the conclusion of the High Court though on dif ferent grounds and dismiss the appeal with costs.
RPC,Appeal dismisseel.
NAME,"Sarju Pershad vs RAJA JWALESHWARI PRATAP NARAIN SINGH AND OTHERS on 14 November, 1950"
CITATION,"Equivalent citations: 1951 AIR 120, 1950 SCR 781"
COUNSEL,"100 782 M.C. Setalvad, Attorney General for India (Sri Narain And ley, with him), for the appellant."
COUNSEL,"P.L. Banerjee (H. J. Urnrigal, with him), for the respondents."
FACTS,"MLKHERJEA J. This is an appeal against a judjment and decree of a Division Bench of the Allahabad High Court dated April 22, 1943, which reversed on appeal those of the Civil Judge of Basti dated 6th of November 1939."
FACTS,"The suit, out of which the appeal arises, was commenced by the plaintiff, whose successor the present appellant is, to recover a sum of Rs. 11,935 by enforcement of a simple mortgage bond."
FACTS,"The mortgage deed is dated the 8th of March 1926 and was executed by Raja Pateshwari Partap Narain Singh, the then holder of Basti Raj which is an impartible estate governed by the rule of primogeniture, in favour of Bhikhiram Sahu, the father of the original plaintiff Ramdeo, to secure a loan of Rs. 5,500 advanced by the mortgagee on hypothecation of certain immovable properties appertaining to the estate of the mortgagor."
FACTS,The loan carried interest at the rate of 9 per cent per annum and there was a stipula tion to pay the mortgage money within one year from the date of the bond.
FACTS,"The mortgagor and the mortgagee were both dead at the time when the suit was instituted, and the plaintiff in the action was Ramdeo Sahu, the son and heir of the mortgagee, while the principal defendant was the eldest son of the mortgagor who succeeded to the Basti estate under the rule of primogeniture."
FACTS,"It was stated in the plaint that absolutely nothing was paid by the mortgagor or his succes sor towards the mortgage dues and the plaintiff claimed the principal amount of Rs. 5,500 together with interest at the rate of 9 per cent."
FACTS,per annum up to the date of the suit.
FACTS,"A number of pleas were taken by the contesting defend ant in answer to the plaintiff 's claim, most of which are not relevant for our present purpose."
FACTS,The 783 substantial contentions raised by the defendant were of a three fold character.
FACTS,"In the first place, it was urged that the document sued upon was not a properly attested or valid ly registered document and could not operate as a mortgage instrument in law."
FACTS,"The second contention raised was that there was no consideration in support of the transaction, at least to the extent of Rs. 2,000, which was represented by items 3 and 4 of the consideration clause in the document."
FACTS,The third and the last material defence related to a claim for relief under the United Provinces Agriculturists ' Relief Act.
RLC,The trial Judge held in favour of the defendant on the last point mentioned above and negatived his other pleas.
FACTS,"The result was that he made a preliminary decree for sale in favour of the plaintiff for recovery of the principal sum of Rs. 5,500 with interest at certain rates as are sanctioned by the U.P. Agriculturists ' Relief Act; and agreeably to the provisions of that Act the decretal dues were directed to be paid in a number of instalments."
RLC,"Against this decision, the defendant took an appeal to the High Court of Allahabad which was heard by a Division Bench consisting of Verma and York JJ."
RLC,"The learned Judges reversed the judgment of the trial Judge and dismissed the plaintiff 's suit on one ground only, viz., that the bond was not attested in the manner required by law and consequently could not rank as a mortgage bond; and as the suit was instituted beyond 6 years from the date of the bond, no money decree could be claimed by the plaintiff."
FACTS,"It is against this judgment that the plaintiff has come up on appeal to this court, and the main contention raised by the learned Attorney General, who appeared in support of the appeal, is that in arriving at its decision on the question of attestation, the High Court approached the matter from a wrong standpoint altogether and on the materi als in the record it had no justification for reversing the findings of the trial court on that point."
REASONING,"In such cases, the appellate court has got to bear in mind that it has not the advantage which the trial Judge had in having the witnesses before him and of observing the manner in which they deposed in court."
REASONING,"This certainly does not mean that when an appeal lies on facts, the appellate court is not competent to reverse a finding of fact arrived at by the trial Judge."
REASONING,"The rule is and it is nothing more than a rule of practice that when there is conflict of oral evidence of the parties on any matter in issue and the decision hinges upon the credibility of the witnesses, then unless there is some special feature about the evidence of a par ticular witness which has escaped the trial Judge 's notice or there is a sufficient balance of improbability to dis place his opinion as to where the credibility lies, the appellate court should not interfere with the finding of the trial Judge on a question of fact(1)."
PRECEDENT,"The gist of the numer ous decisions on this subject was clearly summed up by Viscount Simon in Watt vs Thomas(2), and his observations were adopted and reproduced in extenso by the Judicial Committee in a very recent appeal from the Madras High Court(3)."
PRECEDENT,"The observations are as follows: ""But if the evidence as a whole can reasonably be re garded as justifying the conclusion arrived at at the trial, and especially if that conclusion has been arrived at on confliciting testimony by a tribunal which saw and heard the witnesses, the appellate court will bear in mind that it has not enjoyed this opportunity and that the view of the trial Judge as to where credibility lies is entitled to great weight."
PRECEDENT,"Like other tribunals, he may go wrong on a question of fact, but it is a cogent circumstance that a Judge of first instance, when (1) Vide Lord Atkin 's observations in W.C. Macdonald vs Fred Latinmer, AI.R. 1929 P.C. 15, 18."
PRECEDENT,"(3) Vide Saraveeraswami vs Talluri, A.I.R. 785 estimating the value of verbal testimony, has the advantage (which is denied to Courts of appeal)of having the witnesses before him and observing the manner in which their evidence is given."
PRECEDENT,""" It is in the light of these observations that we propose to examine the propriety of the decision of the s learned Judges of the High Court in the present case."
REASONING,"It will appear that the mortgage deed besides containing the signature of the executant, purports to bear the signatures of three other persons, two of whom are described as attesting wit nesses and the third one as the scribe."
REASONING,Harbhajan Lal and Jawala Prasad Tewari purport to have signed the document as attesting witnesses and Jawala Prasad Patwari is the person who has signed it as the scribe.
REASONING,"Jawala Prasad Tewari was admittedly dead when the suit was brought and Harbhajan Lal, the only surviving attesting witness was called on behalf of the plaintiff to prove the execution of the deed as is required under section 68 of the Indian Evidence Act."
REASONING,"Harbhajan Lal stated in the witness box that he did sign the document as a witness and so did Jawala Prasad Tewari, but neither of them signed it in the presence of the mortgagor; nor did the mortgagor sign in their presence."
FACTS,"He was cross examined by the defendant also and in answer to the questions put to him by the defendant 's lawyer, he stated that he signed the deed at the Collector ate Kutchery, meaning thereby the Bar Library, where he used to sit as a petition writer and the document was taken to him at that place by Bhikhi Ram Sahu, the mortgagee, Ghur Lal, a Karinda of the mortgagor, and Jawala Prasad Patwari, the scribe."
FACTS,Jawala Prasad Tewari signed the deed after him.
FACTS,The mortgagor certainly did not come to that place and his signature was already on the deed when the witness signed it.
FACTS,"The details of the defendant 's version relating to execution of this document were given by Jawala Prasad Patwari, who was the principal witness on the 786 side of the defendatnt."
FACTS,He says that he prepared the draft at the sherista or the office of the Raja Sahib which is outside his Kot or palace.
FACTS,"The draft was prepared under instructions from Bhikhi Ram, the mortgagee."
FACTS,"and Ghur Lal, the Karinda of the mortgagor, both of whom were present when the draft was prepared."
FACTS,"After the draft was fair copied and stamped, the witness signed it as the scribe and then it was taken by Bhikhi Ram and Ghur Lal to the Kot or palace of the Raja for his signature."
FACTS,"After obtaining the Raja 's signa ture, Bhikhi Ram went away to his house and some time later he as well as Bhikhi Ram and Ghur Lal went to the Collector ate Kutchery, where they took the signatures of Harbhajan Lal and Jawala Prasad Tewari."
FACTS,"They then went to the registration office, where the document was presented for registration by Jainarayan Sukul who held a general power of attorney for the Raja."
FACTS,"As against this, there is a completely different version given by the plaintiff himself and his witness Buddhu Lal."
FACTS,"According to the plaintiff, the document was executed and attested at one and the same sitting in the Kot or palace of the Raja; the terms had been settled beforehand between Bhikhi Ram and the mortgagor and on the 8th of November 1926 the plaintiff himself, and not his father, went to the Raja 's palace at about 10 or 11 A.M. in the morning to get the document executed."
FACTS,"He was accompanied by three persons to wit Harbhajan Lal, the deed writer of his father, Buddhu Lal, an old servant of the family, and Jawala Prasad Tewari who was also well known to the plaintiff and was taken to bear witness to the deed."
FACTS,They found Jawala Prasad Patwari already with the Raja when they reached the Kot.
FACTS,The draft was prepared by Buddhu Lal at the suggestion of the Raja.
FACTS,"It was the plaintiff 's desire that the final document should be scribed by Harbhajan Lal but as the Raja wanted to oblige Jawala Prasad Patwari, who was the Patwari of Basti proper, the deed was faired out and scribed by Jawala Prasad patwari."
FACTS,"After the Raja had put his signature on the 787 document in the presence of Harbhajan Lal and Tewari, both the latter signed the document in the presence of the Raja."
